No.,Title ENG,Condition ENG,setup ENG,Option 1 /Thumbs Up ENG:,Option 1 Short,Option 2 /Thumbs Down ENG:,Option 2 Short,Option 3 ENG
40,Thomas Heart,If the player uses the ability of attached weapon item card while Thomas Hearth is in play:,"Gunshots ring out like church bells greeting the morning. This is business as usual now, but somewhere deep in the damaged folds of Thomas Heart's brain, something misfires. A blood vessel bursts in his left eye and the broken man begins to howl with fear, frustration and rage. The following choice belongs to the player who controls Thomas Heart.","Thomas distributes 4 wounds to survivors who share his location. If no other survivors share Thomas's location, nothing happens.",,"Players must collectively remove 2 medicine cards in their hand from the game. If 2 medicines are not removed, carry out the effects of Option 1 instead.",,Kill Thomas.
41,Rod Miller,If Rod is in play:,"Everybody knows the signs, but Rod finds it strange to experience them firsthand. The pain in his left arm isn't sharp so much as it's icy, and it radiates from his fingers all the way into his chest. ""Gonna be okay,"" he gasps to the others before collapsing. The Ghost of Truck Stop Meals Past swims past his eyes, and even as he fights for life, the cynic in him figures it's better to die from mac 'n cheese than zombies.","""I saw a defibrillator at the hospital the last time we were there. We're going to have to carry him."" Place 2 survivors you control and Rod at the Hospital (this does not count as a move.) Roll for exposure on Rod and both of those survivors 2 times each. If there is not enough room at the hospital to do this, you may place any survivors currently at the hospital back at the colony (this does not count as a move).",,Kill Rod.,,
42,Supply Drop,If a survivor the player controls is at the colony:,"You lived near the airport when you were a kid, and used to climb up on the roof of your house to watch the planes take off. When one passed overhead you'd cheer as the displaced air whipped over your body. Just like right now. What, what? You snap awake and fall out of your lawn chair. As immense plane, like something from an old war movie, roars overhead before disgorging what looks like a crate. An orange parachute pops open, carrying the crate to safety - and away from the colony.","""Someone knows we're here. There's no way this is random. We have to find that crate!"" Choose a survivor you control and roll for exposure on that survivor 3 times. If they aren't killed by that add 5 food to the supply. ""The container had Chinese or something stenciled on it. It wasn't our government that made the drop, that's for sure"". If Annaleigh Chan is in play, she is able to translate the text. The Chinese government is still intact and is trying to provide relief efforts. Gain 1 morale.",,Nothing happens.,,
43,Army,If a survivor the player controls is at the colony:,The soldiers in army uniforms make predictable demands - have food ready when they return or the colony will be burnt to the ground. Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.,"Add the following victory condition to the current main objective, in addition to any victory conditions already listed: Have 5 food in the supply.",,"Your ambush is surprisingly effective, and their losses are worse than yours. The cowards flee in a disorganized fashion. Roll a die for each survivor at the colony. On each result of 3 or lower that survivor receives 1 wound.",,"If Thomas Heart is at the colony he notices that the man calling himself colonel has a sergeant's uniform. He calls them on their lie at the gate, the imposters angrily retreat. Nothing happens."
44,Gambling,If a survivor the player controls is at the colony:,"""I'm bored. C'mon, let's roll some dice. Surely everyone here has something they can ante up? I've got a pair of clean socks that says I wipe the floor with you chumps."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","One at a time, starting with the first player, each player may place 1 item card from their hand into the center of the play area for each survivor they control at the colony. For every card played that player rolls 1 die. The player that rolled the highest die result takes all of the cards placed in the center of the play area and adds them to his hand. Reroll ties.",,Nothing happens.,,
45,Bitter Cold Night,If the player receives a frostbite wound and as the result of rolling for exposure after moving to a location with 1 or more survivors:,"The night brings with it a new understanding of cold. The snow stopped, but the wind picked up, and your extremities all ache from icy pain that stabs you. You stagger to the door and bang as loudly as you can, shouting for someone to let you in. But the wind howls louder, and your hat is torn from your head. You hammer on the door again, panic gripping you as the cold instantly starts chewing on your ears. Every player with 1 or more survivors at the location that was moved to must vote with a thumbs up or down. The option with the most votes takes effect.","The door opens, but the wind enters with you, sending loose items scuttling across the floor, and putting the fire out with an audible ""whump"". Every survivor at the location receives 1 frostbite wound.",,The door stays shut tight. The moving survivor is killed.,,
46,Lighthouse,If a survivor the player controls is at the colony:,"""Remember how that fire drew in all those zombies last week? Well the other day I was looking out at the lighthouse and had an idea. What if we fired that thing up to lure away the dead? It hasn't seen full use in decades, but they'd light it up every now and then for special occasions, so I don't think it can be in that bad of shape.""","You may move 1 action die from your unused action die pool to your used action die pool to remove 1 zombie from every location. If you do not, nothing happens.",,,,
47,Sacrament,If the player moves a non-exiled survivor:,"You walk past the cathedral, and you realize that no one's been inside since the colony formed. It's certainly not the most tempting or targets... but you can think of something that might be of use.","You mount the steps, and the heavy front door groans as you pull it open. You spend fifteen minutes searching before you find a small room holding the prize you wanted - half a dozen bottles of Communion wine. But as you move through the dark hallways towards the exit, a foul smelling shape slams into you. The priest's corpse gnashes its teeth, nearly taking off your nose. ""Looks like you were judged and found wanting."" You slam the thing's head into the tiled floor repeatedly until only gory wreckage remains. You dust yourself off and wonder, did I just say a cheesy one-liner in a fight? That's badass! Roll exposure on the moved survivor twice. If the survivor isn't killed by the exposure, gain 1 morale.",,"Not worth the risk you think, and keep moving. Nothing happens.",,
48,Outsiders,If a survivor the player controls is at the colony:,"""I need everybody at the gate right now! There's a flatbed that just pulled up, loaded with refugees."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","""We don't have much. but if your people are willing to pull their own weight we can give you a home. For the winter at least. After that you're on your own."" Each player draws 1 survivor from the survivor deck and adds it to their following. Each player also adds 1 helpless survivor to the colony.",,"""I'm sorry we just can't take on any more. You're going to have to keep moving."" Their faces suggest they've heard those words too many times before. They look downward in acceptance and soon the truck is driving away. Three days later you find the truck collapsed on the side of the road. The people are gone, but blood is caked on the road. Nothing happens.",,
49,Riot,If the player controls a survivor at the colony and there are more helpless survivors in the colony than non-helpless survivors:,"""They don't care that we're starving! I can reel my ribs, yet that pantry door is locked up tight. Why? We need food. Well I don't care what those scum bags say - there's way more of us than them. I say we break that door down, and if any of them get in our way, well ... it's their choice if things turn ugly.""",Remove all food in the supply.,,Each non-helpless survivor at the colony receives 1 wound.,,You make an example of one of the rioters. Kill 1 helpless survivor.
50,The Sunshine State,If the player controls a survivor at the colony and there are 2 or more helpless survivors in the colony:,"The sun shines brightly, reflecting off the beach's perfect white sands and light blue waters. ""The Sunshine State,"" declares Harold, shaking the postcard in your face. ""That's where we're headed. Why should we be fighting both the weather and the dead? I think the birds have it right. The wife and I are flying south.""","""Great idea as always Harold."" You open the gates for the old man and his wife. Remove 2 helpless survivor tokens in the colony from the game. The very next morning they're found at the gates, staring in hungrily at the living. Lose 1 morale.",,"""Who's doing the fighting Harold? It ain't either of you. So leave and die, or stop being an ingrate and shut up."" He walks away, but you realize he feels ashamed at having to rely on others. Nothing happens.",,
51,Flier,If the player controls a survivor at the colony:,"Strong winds in the evening yielded a strange surprise when the sun rose. Fliers printed on bright orange paper covered the ground, and more were struck in the surrounding trees, flapping there like dying birds. NO HELP COMING read the header, making the rest of the flier seem redudant. A last act of the government, it served both as a warning and a catalog of their failer attempts at combatting the dead. NO HELP COMING. Welcome to the new normal.",,,,,
52,Airplane,If the player moves and Sophie Robinson is in play:,"""It's an old crop duster,"" Sophie says, running her hand over the side. ""She's in great condition too. I could fly this thing out of here and scout for help. Or supplies even. Who knows? I might even find us a safer place to live."" Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","The players may collectively remove from the game 1 tool card, 1 fuel card as well as Sophie Robinson to gain 1 morale.",,Nothing happens.,,
53,Mising Child,If there is at least 1 helpless survivor at the colony:,"""Oh my God. Cindy! She was here a moment ago. Have you seen her? I think she was climbing on the old tree near the south wall. Did she go over? Did anyone see? Please, we have to look for her. We have to find my baby! ""Every player with 1 or more survivors at the colony must vote with a thumbs up or down. The option with the most votes takes effect.","If every non-colony location has been searched between now and the end of the next round gain 1 morale, otherwise lose 1 morale and remove a helpless survivor from the colony.",,Lose 1 morale and remove a helpless survivor from the colony.,,
54,Abandoned,If the player cleans waste and there is at least 1 helpless survivor at the colony:,"There it is again - the sound of a baby crying. You enter the warehouse's back hallway, following the sound, and come to the large trash bin that holds used plastic containers. Someone has thrown away a newborn. A quick investigation yields a distraught teenage girl. Fearing being turned away, she hid her pregnancy from the colony. Every player with 1 or more survivors at the colony must vote with thumbs up or down. The option with the most votes takes effect.",You keep the baby. Add 1 helpless token to the colony. The baby's cries draw in the dead. Add 5 zombies to the colony.,,You keep the baby but expel the mother for what she did. The baby's cries draw in the dead. Add 5 zombies to the colony. You search the town for formula. Each player that is able to must move 1 action die from their unused action dice pool to their used action dice pool.,,
55,Mike Cho,"If the player controls a survivor at a non-colony location, there is at least 1 zombie at that location, and Mike Cho is still in the survivor deck:","The zombie crashing through the window cuts off your final escape route. There's no way out. The inevitability of your death begins to sink in, and you find you're surprised at how at peace you feel. The gnashing dead press in on you, and you close your eyes and whisper a final prayer. You hear a high pitched battle cry and open your eyes again to see a man dressed entirely in black, slicing through a zombie with a sword.","You join him, helping him fight off the zombies. Grateful for your help he agrees to join your group. Search the survivor deck for Mike Cho and add him to your following. Add 1 wound to Mike Cho and to a survivor you control that is at a non-colony location. Remove all zombies from that location.",,As he expertly dispatches the zombies you see your chance to get away. Remove all zombies from a non-colony location where you have a survivor.,,
56,John Price,"If the player performs a search action at the school, and John Price is in the survivor deck:","As you search through the school, you hear screaming and pounding at a door down the hallway. When you investigate, you see a teenager frantically banging on the door to the cafeteria. You start to unlock the door, when you notice the dead converging on him from behind.",You unlock the door and rescue the boy. He runs past you and leaves you to deal with the zombies. Add John Price to your following. Add 2 zombies to the school.,,"Your moment's hesitation gives the zombies enough time to reach the boy. You decide to take advantage of the distraction and rush into the cafeteria grabbing supplies, as the teenager's anguished scream echo throughout the school. Add 2 food to the supply. Search the survivor deck for John Price. Remove the card from the game.",,
57,Ashley Ross,If the player controls Ashley Ross and she is not exiled:,"""You inspect the colony's infrastructure and decide that with some raw materials and effort you can probably make significant improvements. You gather the survivors together, and lay out your plans.""","You construct a series of raised walkways around the perimeter, when attacking zombies at entrance 1, do not roll for exposure. Roll twice for exposure on Ashley Ross when building this improvement",,You expand the waste storage area. During the check waste step of the round lose 1 morale for every 15 cards in the waste pile instead of 1 morale for every 10. Roll once for exposure on Ashley Ross when building this improvement.,,"You do nothing, nothing happens."
58,Edward White,If the player controls Edward White and he is not exiled:,"The threat of virus that reanimates the dead may seem pressing but you know the gravest threat to the colony comes from the simple cuts and scrapes people might suffer. And so, in the spirit of Alexander Fleming, you decide to try your hand at creating penicillin.",You sacrifice some bread to culture the penicillin. Remove 1 food token from the colony's supply and add 1 medicine card that has been removed from the game to your hand. You can do this any number of times this turn.,,It's not worth the risk of tampering with the food supply. Nothing happens.,,
59,Heads Up,If a survivor the player controls performs a search at the police station:,"You knew better than to go down into the morgue, but you figure it's the one place that's been searched the least. But once you find yourself downstairs in the darkness, you are so overcome with fear that you only have enough willpower to look in either the refrigerator, or the chemical vat.","You open the refrigerator and let out a shrill scream. A severed head springs to life, gnashing its teeth at you. You flee in terror, knocking over shelves and God knows what else. Fill the police station with noise tokens.",,"You lift the lid on the chemical vat and let out a shrill scream. It' a severed head! You flee in terror, knocking over shelves and God knows what else. Fill the police station with noise tokens. Man, don't you hate it in life when a choice turns out not to be a choice?",,
60,Sleep,"If a player other than the player reading this card
yaws:","God, you're tired. Anxiety kept you tossing and turning last night and now you feel like you're passing through the day in a fog. You consider playing sick so you can turn in early, and really it isn't a bad idea. You've been making bad decision all day and could genuinely use
the rest.","Until the end of this round, at the beginning of each player's turn, they may choose to move all their action dice from their unused action dice pool to their used action dice pool to remove 1 wound from each survivor they control.",,,,
61,Buddy Davis,If the player controls Buddy Davis and Buddy starts the turn in the colony:,"""Listen up people! This is a survival situation, and it behooves us all to be in the best possible physical shape. If you would please take a moment to look at my perfectly sculpted arms. Obviously this kind of awesomeness isn't going to be possible for everyone. These are some seriously alpha male arms here. But with a lot of hard work, and real determination, I think all of you people could start to be a little more like me. So starting tomorrow morning before sunrise, I will be holding a series of intense exercises. I expect to see each and every one of you there, working your butts off so that we can all be living in a colony full of winners.""","The colony begins an intense workout regimen that boosts productivity, though it does increase food consumption. For the remainder of the game, any player can place a food card from their hand into the waste pile (without effect) at the beginning of a round, to roll 1 extra action die during the roll action die step of that round.",,Someone tosses an empty can at Buddy's head while he's busy showing off his abdominal muscles. The resulting uproarious laughter raises morale by 1.,,
62,Dynamite,If both Edward White and John Price are in play:,"""Aw yeah Mr. White. That's a great idea! How 'bout we spice this bitch up with some chili powder? ""John, could you reign in your idiocy for just a moment? This is chemistry, and chemistry requires precision. You can't just go throwing random ingredients willy-nilly into the mix, especially when they don't help anything. Now shut up and hand me that beaker."" The following choice belongs to the player that controls Edward White.","""Dynamite! Hell yes, bitches!"" Roll a die. If you roll a 1, kill Edward White and John Price. If you roll of 2 or higher, roll another die and remove that many zombies from the colony. Then replace them with barricades created by the rubble.",,"""Ahhh, now that's a dynamite beverage!"" Edward exclaims as he sips on his first homebrewed beer. When rolling action dice next round, each player rolls 1 less die. Gain 1 morale.",,
63,Gabriel Diaz,If a player controls a non-exiled survivor at a non-colony location and Gabriel Diaz is in the survivor deck:,"An explosion rocks the building as you cower in back room. Thick black smoke billows in, and soon your eyes water and you begin to cough. You set the fire to distract the horde that trapped you, but things quickly got out of hand. The one window you found to escape from proved to be too small, and now there is nothing to do but wait for the smoke to asphyxiate you. The last thing you see before passing out, is a shape lurching toward you through the flames. You awake in the arms of a burly stranger, ""Good thing me and my family were passing by when we did,"" he says.",You gratefully tell your rescuer and his family about the colony. Search the survivor deck for Gabriel Diaz and add him to your fellowing. Add 3 helpless survivor tokens at the colony.,,"As thankful as you are, you know the colony cannot afford to feed more mouths. You give the Diaz family a reward before parting ways on the road. Remove 1 card in your hand from the game.",,
64,Andrew Evans,If the player controls Andrew Evans and he is not exiled:,"Place Andrew at the Grocery store (this does not count as a move). ""Scavengers have ransacked all the obvious food choices. There's not a single can of food to be seen, but the good stuff is still sitting in plain sight. Those fools don't realize how valuable things like clear plastic sheeting and PVC piping can be.""",Andrew builds a greenhouse. Andrew Ewans Jones gains the ability: COLONY: (1+) Once per round you may add 2 food tokens to the supply.,,You help improve the colony's insulation. Gain 1 morale.,,
65,Annaleigh Chan,If the player controls Annaleigh Chan and she is not exiled:,"""Terrence Washington. He was the only case I ever lost. The prosecution had crap for evidence, and I was sure I had the case on lock. But it was a rural area and all the jury could see what the color of that boy's skin. It made no sense to me. A seventeen year old boy was in the wrong place at the wrong time, and that simple, shitty bit of bad luck got him fifteen years of hard time. So no, I don't agree with your earlier statement. The world hasn't gone to hell because of the zombies - it went to hell a long time ago. Our species doesn't deserve better than this.""","""You're free Terrence. I'm just sorry I couldn't give this to you when you were alive."" Annaleigh opens the gates to the prison. Add 1 zombie to each non-colony location.",,"""Even if we escape all of this, even if our species is able to rebuild, all we'll do is keep hurting each other. I'm done."" Annaleigh shoots herself. Kill Annaleigh.",,
66,David Garcia,If the player controls David Garcia and he is not exiled:,"Place David at the colony (this does not count as a move). ""My daily inventory of supplies shows that something's off. Someone in the colony has been secretly stealing supplies. Furthermore, based on the supplies taken, I don't think they're hoarding supplies but rather plotting the colony's downfall."" The current player looks at 1 random card in each player's hand who controls a survivor at the colony.","""It's just as I suspected. The culprit is right here!"" Accuse another player at the colony of stealing and initiate a vote to exile them.",,"""Oops, I'm sorry, I forgot to carry the 1. I'm usually not prone to such errors. That's my bad everybody."" Nothing Happens.",,
67,Crazed Survivor,If the player controls a survivor at a non-colony location:,"The filthy woman look at you in confused silence. Her hair is a tangled rat's nest and grime covers her arms, legs and face. ""Lady, are you ok?"" you ask. A plastic Meat & Stuff bag hangs by her side, bulging with what looks like canned food. And now you notice the butcher knife in her other hand. ""Ma'am? I'm not going to hurt you. My friends and I have a safe place. Do you want to come with us?""",She charges you before you have a chance to speak. She fights with wild abandon and after a difficult struggle you are forced to kill her. Add 3 food tokens to the colony and roll twice for exposure on a survivor you control at a non colony location.,,The feral look in her eyes scares you and you run away. Nothing happens.,,
68,Welcome Home,If the player moves a survivor:,"Oh God. This is the street your parent's lived on. How changed is the world that you didn't recognize it? And now you can't stop yourself - you have to know. You turn from your intended destination, and soon open the back door to their house. The smell that assaults you warns of what awaits, but still you enter. You find your mother in the living room, face down on the floor. Her head is a halo of dried gore and your father's Colt lies next to her. You don't even have a chance to mourn before the thing that was your father comes crawling down the stairs.","You dive for the gun and take aim. You struggle to pull the trigger, but soon he's right on top of you, his hands scrabbling at your feet ""I'm sorry Poppa."" Roll once for exposure on the moved survivor. If the survivor isn't killed attach this card to it. Once per round when this survivor performs an attack do not roll for exposure.",,You run out the house and don't look back. There was no way you could have shot him. Nothing happens.,,
69,Book of the Dead,If a non-exiled survivor the player controls performs a search at the library:,"Deep in the stacks of the Special Collection, you discover a large, leather bound tome blanketed in dust. The title says Book of the Dead.","Convinced you've uncovered the key to saving all mankind, you quickly stash the book in your pack. Upon returning to the colony, you call everyone together, and proudly reveal your find. To your surprise, the revelation is met with uproarious laughter. ""Dude,"" someone say ""That's the biography of a rock band."" Your idiocy provides much needed levity. Gain 1 morale.",,"""Wow this weighs a tone you say to yourself. ""I bet it could do some real damage"". You hoist the book to a second story window and drop it onto the head of a passing zombie dressed like a bike courier, its crushed head exploding like a rotting melon. Later when you exit the library, you nab the dead zombie's delivery bag. Remove 1 zombie from the library (if able) and add 4 food tokens to the colony's supply.",,
70,Rascals,If a survivor the player controls performs a search at the hospital:,"The air from the storage room is cold and at first your heart sinks-aside from a stack of wooden pallets, the room is empty. It certainly isn't the trove of medical supplies you were hoping for. But then…you catch a glimpse of metal behind the pallets and walk around to investigate. Sitting there are four Rascal scooters. A quick check shows they are all fully charged but a quick joyride down a hospital hallway forced you to admit the scooters are garbage. They couldn't even outrun a zombie. Hmm. Perhaps the scooters can serve another kind of purpose?","Yeah, sure! You could take these back to the colony and have races. The fact that the scooters are so slow would just make the whole thing hilarious! Your hunch proves accurate and the four hours of racing the batteries provide raise moral1 by 1. But loud cheering also draws in the dead. Add 5 zombies to the colony.",,"Hilarious? Man, that's exactly the kind of stupid thinking that makes everyone dislike me. Nothing happens.",,
71,Janet Taylor,If the player controls Janet and she is not exiled:,"""We should be more concerned about treating minor wounds, Not only do we know next to nothing about the plague that made the zombies, but even things like small infections could prove problematic to treat. Besides, no one wants to be wounded during a survival situation. I can set up a clinic, but I'm going to need everyone else to keep me well supplied.""","For the remainder of the game, if Janet is also in the colony, during a player's turn that player may place a card from their hand into the waste pile without using its ability to remove 1 wound from a survivor they control at the colony.",,,,
72,Old Divisions,If a survivor the player controls is at the colony:,"Fists and curses are flying as you force your way through the crowd to break up an ugly fight. ""What is going on here? you demand. ""It's him."" snarls one of the combatants, pointing at his opponent. ""I don't know why we let his type in here to begin with. This place is for good people!"" Your heart sinks as several other voices rise up in agreement. ""In case you haven't noticed, the world as we know it just ended!"" you yell. ""The old divisions we knew - they don't mean jack now. There are just human beings and the things that eat human beings."" Every player with 1 or more survivors at the colony must vole with a thumbs up or down. The option with the most votes takes effect.","The bigot who started the fight is expelled from the colony. Remove 1 helpless survivor. For a while, people work together more efficiently. Place the current crisis on the bottom of the deck and skip the resolve crisis step this round but lower morale by 1 as people balk at such a severe reaction.",,A notice is hung stating that bigotry will be met with exile. Nothing happens.,,
73,Voyeur,If a survivor the player controls share a location with a survivor another player controls and those are the only 2 survivors at that location:,"You watch them from your hiding space, taking note of all the choice gear they have spread out on the ground. Interesting. Sometimes possessions can say so much about the person who owns them. Perhaps you could use this to your benefit? Look at the hand of the player who control the other survivor al that location.","You see something you covet. You blackmail the survivor, threatening to expose their secrets to the group. Take a card of your choice from that player's hand. Neither player can talk about the card that was just taken. It cannot be played until next round.",,Show that player's hand to all of the other players.,,
74,The Artic King,If the player performs a search at the gas station:,"Snowflakes waft by, and your fingers begin to numb in the frigid cold. The eighth key you try works, and you lift the complaining garage door up. You start to curse the noise but the words never make it past your lips. It sits there like some ancient idol. The words POLAR BEAR are emblazoned along the snowmobile's flank, and you joyously recall the TV jingle with no hint of irony, ""When winter tries to trap you there, mount up on a Polar Bear.""","Attach this card to searching survivor. When moving with that survivor you do not roll for exposure but must place a noise token at the origin and destination. If the origin or destination is the colony, add 1 zombie to the colony instead, Each time you move, place a wound token on this snowmobile. When it has 4 wounds remove it from the game.",,"You siphon the gas. Search the gas station item deck for 2 fuel cards, add them to you hand.",,
75,Carla Thompson,If the player controls Carla and she is not exiled:,"Place Carla at the police station (this does not count as a move). ""This guy was a real creep, right? He was basically stalking the entire town. He had used just about every form of social media he could, to get hold of photos which he taped up in every room of his house. He's probably an undead cannibal now, which probably isn't too far off from who he was when he was alive. The thing is, his house had been closed for the investigation, and I bet all those photos are still in there. If I got my hands on them, I could probably give people in the colony photos of lost loved ones, and right memories like those are important to hold on to.","A reanimated detective roams the house. Roll for
exposure twice on Carla. If she is not killed by
the exposure, gain 1 morale.",,The dead detective is too much and Carla decides not to risk it. Nothing happens.,,
76,Jenny Clark,If player performs a search with Jenny Clark and she is not exiled:,"The jar of pennies crashes to the floor, glass shards and tarnished coins spilling everywhere. ""Stupid pennies."" Jenny mutters. ""Don't you know I'm trying lo be quiet? But when she turns away to search elsewhere, she finds herself face to face with a zombie; it groans, cold fetid air pushed from the thing's mouth. Yet to Jenny's surprise the zombie does not attack, and in its one good eye he thinks she sees something a kin to kindness. Behind the zombie, more corpses shuffle into the room. ""Aw, you guys aren't all bad are you?"" she says. ""Come on. I know some people who are going to want to meet you.""",Place Jenny at the colony. Add 8 zombies to the colony.,,"Peering through the rifle's scope he sees Jenny walking slowly down the road, a group of dead in tow. ""Oh God."" he mutters, slipping a finger over the trigger. ""That ditz must have gotten herself bit."" Kill Jenny Clark.",,
77,Hunted,If the player receives a non-frostbite wound as the result of rolling for exposure after moving:,"""They shot me! It was no accident either. I saw them! They were all decked out in camouflage and they had no interest in the zombies in the area. They were hunting me, and I tell you what - they don't look as rough as us. They look well fed. We've got armed cannibals in our backyard.""",You hunt down the hunters. Roll for exposure twice on each survivor you control.,,"For the remainder or the game. whenever any player moves a survivor, in addition to rolling the exposure die they must roll a die. On a result of 2 or lower that survivor receives 1 wound.",,
78,Loretta Clay,If the player controls Loretta and she is not exiled:,"""Where did we find these cans?"" Loretta says angrily. ""I have almost thirty cans well past their expiration date. If you hunters don't do your job and look, then it messes everything up. We were counting on this food!""","Loretta cooks the food anyway. Roll a die. On a result of 5 or higher the food is not only good but Loretta does and exceptional job of preparing it. Gain 1 morale. On a result of 3-4 the food isn't any worse than usual. Nothing happens. On a result of 1-2, food poisoning runs rampant through the colony. Every non-helpless survivor at the colony must roll a die. On a result of 1-2 they receive 1 wound.",,She swears angrily and throws the cans out. Remove 1 food from the supply.,,
79,Fuel Tanker,If the player moves a non-exiled survivor:,"""Holy crap."" The fuel tanker sits just off the road, and it appears in excellent condition. You exit your car, and checking the perimeter you approach the cab, it's driver side door hanging open. You slice the seat belt apart, and bludgeon the head of the zombie that falls out. The trucker's bloody hat says Beaver Inspector, and you marvel al how stupid and frivolous your species used to be. Climbing into the cab you give the keys a twist and the loud diesel engine roars to life like some ancient monster reborn into the world. You cringe. Noise like that is going to draw every dead thing for a mile.","You drive the tanker back to the colony, drawing every zombie in the area back with you. Place 6 zombies at the colony and add up to 4 fuel cards that have been removed from the game to your hand.",,You sigh regretfully and tum the motor back off. It's just too loud to risk driving into the colony. Nothing happens.,,
80,Harman Brooks,If Harman Brooks is in play and is not exiled:,"""No more shoveling trash or building barricades. I need to get out and do what I do best.""","Harman lays flat on his platform, and feels it sway in the winter wind. He gazes down from his treetop vantage point at the specially laid snare below, and steels himself for a long wait. Add 3 food to the supply.",,"Thorns snag at Harman's sleeves as he pushes through a thick tangle of greenery. After long hours he is beginning to give up hope, but then he spots a promising sprout at the base of an old oak tree. Kneeling, he plucks a leaf and chews it. Perfect! Now if he can just collect several dozen more plants, he might be able to make a decent salve. Remove 1 wound from up to 3 survivors.",,